Reference sentence PolyAI,XLSR Wav2Vec2 Dutch,Whisper by OpeanAI
mijn kaart is vandaag gestolen en nu zou ik deze graag willen blokkeren zodat er geen andere transacties meer mee kunnen gebeuren,mijn daag is vandaag gestolen en zo zou ik deze vaak willen blokkeren zodat er geen andere trantactiespeg mee kunnen gebeuren,mijn kaart is vandaag gestolen en nu zou ik deze graag willen blokkeren zodat er geen andere transacties meer mee kunnen gebeuren
ik wil graag dat jullie mijn kaart bevriezen,ik wil graag dat jullie mijn kaart beviezen,ik wil graag dat jullie mijn kaart bevriezen
stop alle transacties op mijn kaart bevries mijn kaart blokkeer alsjeblieft mijn kaart,stop alle transacties op mijn kaart bevries mijn kaart blokkeer alstublieft mijn kaart,stop alle transacties op mijn kaart bevries mijn kaart blokkeer alsjeblieft mijn kaart
ik zou graag mijn kaart willen blokkeren en daarbij alle transacties op mijn kaart stopzetten,ik zou graag mijn kaart willen blokkeren en daarbij alle transacties om mijn kaart aan stopzetten,ik zou graag mijn kaart willen blokkeren en daarbij alle transacties op mijn kaart stopzetten
ik wil mijn kaart laten blokkeren,ik wil mijn kaart laten blokkeren,ik wil mijn kaart laten blokkeren
mijn kaart is verstolen,mijn kaart is gestolen,mijn kaart is verstolen
goedendag ik ben timothy ik ben al een hele aardige tijd op vakantie en ik zou graag mijn kaart willen laten blokkeren het was net gestolen net 5 minuten geleden en ik zou heel graag dat alle transacties even stop worden gezet dat er niks wordt gedaan zouden jullie dat eenvoudig als sprake van me doen ja ik zou graag dat u mij even op de kaart laten blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de,zoverdag ik ben nahet temakin wij wel heraas bedolmen o pakantie einme en ik zou graag mian kiaf wij luiden blokkeren hent wasnet er gestoten hen vijfmoelbevrij en ik zou jagger aan date evonningen alle consactieseving stop worden gezet vanmix worden gedaan in eet eehals bijzonder doenjamijn prauwe wij heb dan iijn baboord men zou heel gare banni ne hune kaart laten inen bevezigd en it nog geen van dat zienieiedan wogevesteur necht zijn machtka om mij,goedendag ik ben timothy ik ben al een hele aardige tijd op vakantie en ik zou graag mijn kaart willen laten blokkeren het was net gestolen net 5 minuten geleden en ik zou heel graag dat alle transacties even stop worden gezet dat er niks wordt gedaan zouden jullie dat eenvoudig als sprake van me doen ja ik zou graag dat u mij even op de kaart laten blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de kaart laat blokkeren ik ben heel blij dat u mij even op de
goedemiddag ik zou u graag willen vragen of u een tas kunt plokkeren daar zal ik goede redenen voor hebben waarschijnlijk meer in detail over in zou kunnen gaan wanneer ik daadwerkelijk zou weten wat deze wedende waren dankjewel,voor de middag waren ik zou u vraag wille vraagn oeveraan tas kunst blocueren daar zal it goede redenen voor hebben maar ik meer in detail over indruk kunnen gaan wanneer ik daadwerkelijk zou weten wat deze redenen wadig dank wel,goedemiddag ik zou u graag willen vragen of u een tas kunt plokkeren daar zal ik goede redenen voor hebben waarschijnlijk meer in detail over in zou kunnen gaan wanneer ik daadwerkelijk zou weten wat deze wedende waren dankjewel
stop alle transacties op mijn kaart,stop alle transacties op mijn kaart,stop alle transacties op mijn kaart
ik wil per direct mijn betaalkaart blokkeren,ik wil per direct mijn betaalkaart blokkeren,ik wil per direct mijn betaalkaart blokkeren
hallo ik ben mijn kaart kwijt geraakt en ik wil graag mijn kaart blokkeren zodat er geen betaling meer mee kan maken worden,alloo ik ben mijn kaat kwijtgeraakt en ik wil graag mijn kaart blokcarers te geen betaling vanmerk gemaakt kunnen worden,hallo ik ben mijn kaart kwijt geraakt en ik wil graag mijn kaart blokkeren zodat er geen betaling meer mee kan maken worden
ik wil graag mijn kaart blokkeren ik wil mijn kaart bevriezen ik wil alle transacties op mijn kaart stoppen,ik wil graag mijn kaart blokeren ik wil mijn kaart bevriezen ik wil alle transacties op mijn kaart stoppen,ik wil graag mijn kaart blokkeren ik wil mijn kaart bevriezen ik wil alle transacties op mijn kaart stoppen
blokkeer alsjeblieft mijn kaart,blokkeer alstublieft mijn kaart,blokkeer alsjeblieft mijn kaart
goedemiddag ik ben ben langendijk ik bel omdat ik graag mijn kaart wil blokkeren ik wil meteen dat alle transacties van mijn kaart worden stopgezet bevrieze alsjeblieft mijn kaart want ik vertrouw het even niet ik denk dat mijn kaart is gestolen ik kan nergens vinden en alsjeblieft blokkeer mijn kaart,ni goede mien latenspeewen ben lange rijk ik ben onder graag mijn daaraan mijn kaart wil blokeren ik wach ik wog heb meteen dat er alle transacties van mijn kaart worden topgezet beviest alsjeblieft mijn kaart komt ik vertrouhet eveniet ik denk dat mijn kaart is gestolen kan nergens vinden en alsjeblieft blokkeer mijn kaart,goedemiddag ik ben ben langendijk ik bel omdat ik graag mijn kaart wil blokkeren ik wil meteen dat alle transacties van mijn kaart worden stopgezet bevrieze alsjeblieft mijn kaart want ik vertrouw het even niet ik denk dat mijn kaart is gestolen ik kan nergens vinden en alsjeblieft blokkeer mijn kaart
goedemiddag u spreekt met jannie de winter ik ben zelf klant bij jullie bank en ik ben mijn pas kwijt en ik weet niet waar het ligt en goed wilt u alstublieft mijn kaart blokkeren want ik heb totaal geen idee waar het ligt misschien is hij wel gestolen dus kunt u me alstublieft helpen,goedemiddag ujui spreekt niet jani de wind ui aan ik hetzelf lant bij jullie bank en ik ben mij pas kwijt en ik weet niet waarhet licht en naarcht goed wilt u alstublieft een kaart blokkeren want ik heb totaal geen idee wat licht dus misschien ietjuwel gestolens kunt ume alstublieft holpen,goedemiddag u spreekt met jannie de winter ik ben zelf klant bij jullie bank en ik ben mijn pas kwijt en ik weet niet waar het ligt en goed wilt u alstublieft mijn kaart blokkeren want ik heb totaal geen idee waar het ligt misschien is hij wel gestolen dus kunt u me alstublieft helpen
goedemiddag ik wil graag mijn bankkaart laten blokkeren ik weet alleen niet hoe ik dit moet doen want ik heb het idee dat er transacties afgehaald worden die niet kloppen dus wilt u mij alsjeblieft helpen om dit zo snel mogelijk te blokkeren dan weet ik er wel zeker dat er geen geld wordt afgescheven voor mensen van wie het niet is dankjewel,voormiddag ik wil graag mij een bankaart laten blokkering wijtellen niet hoe dit mot doen want ik heb het idee dat erw van vactie afgehouden voor die niet kloppen dus wilt u mij als jeblieft helpen zo om dit gesnel mogen te blokkeren dan weet ik heer van zeker dat er geen geld wordt afgeschreven voor mensen voor mensen van wileniis dank ju wel,goedemiddag ik wil graag mijn bankkaart laten blokkeren ik weet alleen niet hoe ik dit moet doen want ik heb het idee dat er transacties afgehaald worden die niet kloppen dus wilt u mij alsjeblieft helpen om dit zo snel mogelijk te blokkeren dan weet ik er wel zeker dat er geen geld wordt afgescheven voor mensen van wie het niet is dankjewel
mijn kaart is onlangs gestolen en ik wil nu mijn kaart blokkeren alstublieft bevries hem voor me,mijn kaart is al langsgestolen en ik wil nu mijn kaart blokkeren alstublieft de vissenvolnen,mijn kaart is onlangs gestolen en ik wil nu mijn kaart blokkeren alstublieft bevries hem voor me
zou u graag mijn kaart willen blokkeren,zou u graag mijn kaart willen blokkeren,zou u graag mijn kaart willen blokkeren
goedemiddag ik ben klant bij ubank en ik zou graag mijn kaart blokkeren,goede middag ik ben klans bij uw bank en ik zou graag mijn kaart blokkeren,goedemiddag ik ben klant bij ubank en ik zou graag mijn kaart blokkeren
blokkeer mijn kaart alstublieft,blokkeer mijn kaart alstublieft,blokkeer mijn kaart alstublieft
goedemiddag ik ben mijn kaart verloren onderweg dus ik zou deze graag laten wel een blokkeren,goedemiddag iktaan mij n kaart verloren onderwijs dus ik zou deze gaas laten willen blokkuer maan,goedemiddag ik ben mijn kaart verloren onderweg dus ik zou deze graag laten wel een blokkeren
stop astu blist alat transaktis op main bankart,stot alstublieft alle transacties op mijn bankkaart,stop astu blist alat transaktis op main bankart
kunt u alstublieft mijn kaart blokkeren,kunt u alstublieft mijn kaart blokkeren,kunt u alstublieft mijn kaart blokkeren
ik wil graag mijn kaart bevriezen en alle transacties op mijn kaart stoppen ook zal ik graag willen dat mijn kaart geblokkeerd wordt,ik wil graag met haanbevliezen en alle transacties op mijn kaat stoppen ook zal ik graag willen dat met haat geblokkeerd wordt,ik wil graag mijn kaart bevriezen en alle transacties op mijn kaart stoppen ook zal ik graag willen dat mijn kaart geblokkeerd wordt
goedemiddag ik neem eigenlijk contact met u op omdat ik graag mijn kaart zou willen blokkeren kunt u ervoor zorgen dat alle tranks welke is op mijn kaart vanaf dit moment gestopt zijn dank u wel,goede middag ikam neem aan de contact met u omdat ik graag mijn kaart zou willen blokkeren kunt u dan voorzoc dat alle drang zelkis op mijn kaart van of dit moment gestopt zijn dank u wel,goedemiddag ik neem eigenlijk contact met u op omdat ik graag mijn kaart zou willen blokkeren kunt u ervoor zorgen dat alle tranks welke is op mijn kaart vanaf dit moment gestopt zijn dank u wel
mijn portemonnee is gestolen en ik wil graag per direct mijn kaart verkeren,mijn portemonnee is gestolen en ik wil graag per direct mijn kaart verkeren,mijn portemonnee is gestolen en ik wil graag per direct mijn kaart verkeren
zou je mijn bankpas willen blokkeren alsjeblieft,zou je mijn bankpast willen blokkeren alsjeblieft,zou je mijn bankpas willen blokkeren alsjeblieft
ik wil dat mijn kaart geblokkeerd wordt,ik wil dat mijn kaart geblokkeerd wordt,ik wil dat mijn kaart geblokkeerd wordt
ik wil graag mijn kaart blokkeren,ik wil graag mijn kaart blokkeren,ik wil graag mijn kaart blokkeren
ik wil graag mijn kaart blokkeren,ik wil graag mijn kaart blokkeren,ik wil graag mijn kaart blokkeren
heel goeiemiddag mijn kaart is gestolen en ik wil dat mijn kaart nu geblokkeerd wordt ik hoop dat dat via de telefoon kan dit zijn mijn kaartbegevens en ik wil dat het nu nu geblokkeerd wordt allebei mijn spaar allebei mijn kaarten dankuwel,hede goedemiddag mijne kaart is gestolen en ik woe dat mijn kaart nu geblokkeerd wordt dat je tot viera telefoont kan  naa nitzal kaartengevens en homgodat het nie nu geblokkeerd wordt allebei mit een paar arbij mijn karaten dank u wel,heel goeiemiddag mijn kaart is gestolen en ik wil dat mijn kaart nu geblokkeerd wordt ik hoop dat dat via de telefoon kan dit zijn mijn kaartbegevens en ik wil dat het nu nu geblokkeerd wordt allebei mijn spaar allebei mijn kaarten dankuwel
ik wil graag mijn kaart proberen,ik wil graag mijn kaart plokkeren,ik wil graag mijn kaart proberen
hoi ja ik bel omdat de app van de bank niet goed werkt en ik snap niet goed waarom,kooi ja ik wel omdat de  ap van de dank niet-goedlurken is nog iets goed waarom,hoi ja ik bel omdat de app van de bank niet goed werkt en ik snap niet goed waarom
goedemorgen ik gebruik al een tijdje de app naar alle tevredenheid maar ik krijg hem vandaag niet meer open hij blijft maar hangen en hij wil niet laden,goede morgen ik gebruik al een tijdje de ep naar alle tevredenheid maar ik krijg hem vandaag niet maar open hij blijft maar hangen en hij wil niet laden,goedemorgen ik gebruik al een tijdje de app naar alle tevredenheid maar ik krijg hem vandaag niet meer open hij blijft maar hangen en hij wil niet laden
ik gebruik de app van ubank ik heb deze gewoon uit de playstore gehaald voor mijn android telefoon alleen als ik hem wil openen dan komt hij vast te staan dan gebeurt er niks na een tijdje word ik gewoon weer naar mijn bureaublad gestuurd,en ik gebruik de ap ik gebruik de ap van uw bank ik heb deze gronetten pleesdoor gehaald van mijn endrotelefoon alleen als ik hem wil openen dan komt hij vast te staan dan gebeurt er niets en na entijdje dan wordt ik gewoonweernaar mijn bureauop atgestuurd,ik gebruik de app van ubank ik heb deze gewoon uit de playstore gehaald voor mijn android telefoon alleen als ik hem wil openen dan komt hij vast te staan dan gebeurt er niks na een tijdje word ik gewoon weer naar mijn bureaublad gestuurd
ik wil wel vandaag de app gebruiken maar de app laat helemaal niks hij doet het niet meer,ik wil wel vandaag de et gebruiken maar de abflaatt helemaal niks hij doet het niet meer,ik wil wel vandaag de app gebruiken maar de app laat helemaal niks hij doet het niet meer
ja goeiedag ik wilde even doorgeven dat mijn app niet goed op ja zeg maar laat dus nou kan mijn saldo ook niet zien kan daar wat aan gedaan worden want ik ja vind dit wel vervelend,ja goeije dag maar ik wilde even doorgeven dat mij na ept nie te goedte ope ja zeg mij laat dusse nauw komn mij naar saddo niet te zien kan er wat aan gedaan worden want ik ja ik vindet het wel vervelend,ja goeiedag ik wilde even doorgeven dat mijn app niet goed op ja zeg maar laat dus nou kan mijn saldo ook niet zien kan daar wat aan gedaan worden want ik ja vind dit wel vervelend
als ik de app van mijn bank probeer te openen laat de app niet hij loopt meteen vast,als ik de ap van de bank voor wit te openen laat de ep niet haar lood meteen vast,als ik de app van mijn bank probeer te openen laat de app niet hij loopt meteen vast
kijk de app van mijn bank werkt,gooi de eb van men nauw bankwerk niet,kijk de app van mijn bank werkt
de app laat niet,de ap laat niet,de app laat niet
de bank app werkt niet hij blijft telkens maar op het begin scherm staan met een laat icoontje dus ik kan niet verder,de bankwerkt niet hij blijft telkens maar op rinschem staan met een latikootje dus je kan niet verder,de bank app werkt niet hij blijft telkens maar op het begin scherm staan met een laat icoontje dus ik kan niet verder
hey ik heb jullie app proberen te downloaden maar hij opent niet kunnen jullie mij hierbij helpen,hije ik heb jullie <unk>t proberen te downloden maar hij opent niet kunne jullie mij hierbij helpen,hey ik heb jullie app proberen te downloaden maar hij opent niet kunnen jullie mij hierbij helpen
goedemiddag ik heb op het moment een probleempje met uw app kunt u mij misschien even helpen ik probeer in te loggen maar de app laat zichzelf niet ik kan mijn account zolder niet zien het laat zien dat ik geen toegang heb tot mijn account dus ik wilde even vragen of u mij daarmee zou kunnen helpen,hoe de middag ik heb ap het moment een probleemje met uw ep cutimimciner je helpen an probeer in te lochen maar de et laat zichzelf niet waar kan maan een kant  zalden niet zienn laat zien dat a ik geen toegang heb tot mijn count duza na ik wel even vroag hof u mij daarmee kan zou kunnen helpen,goedemiddag ik heb op het moment een probleempje met uw app kunt u mij misschien even helpen ik probeer in te loggen maar de app laat zichzelf niet ik kan mijn account zolder niet zien het laat zien dat ik geen toegang heb tot mijn account dus ik wilde even vragen of u mij daarmee zou kunnen helpen
de app werkt niet goed hij laat niet,de ab werkt niet goed hij laat niet,de app werkt niet goed hij laat niet
de app open niet ondanks dat ik een verbinding heb met het internet,we heb opent niet ondanks dat ik een verbinding heb met het internet,de app open niet ondanks dat ik een verbinding heb met het internet
goedemiddag ik ben klant bij uw bank en gebruik de app maar ik heb problemen met de app ik kan mijn account salary niet zien weet u wat ik kan doen,goedemiddag ik ben klam bij uw bank en gebruikt ze ep maar k het problem met de epp  kan mijn accountsal er niet zien weten wat je kan doen,goedemiddag ik ben klant bij uw bank en gebruik de app maar ik heb problemen met de app ik kan mijn account salary niet zien weet u wat ik kan doen
the application of my android did not work,de aplicatie op mijn endroyt doet het niet,the application of my android did not work
ik heb geen toegang tot mijn account,ik heb geen toegang tot mijn account,ik heb geen toegang tot mijn account
goedemorgen ik probeer net in te loggen op de app maar elke keer als ik de code heb ingetoetsen en wil inloggen dan crasht app en kom ik er niet in wat kan ik hier dan doen is dat mijn kenprobleem,maa e goede morgen ik probeer net te intelofsen op ee de ep maar elk keer als i ke de kodapeerertoetser wil inloegen dan de castepene commicalitin e wat te kan ik hieraan doen is het bekend probleem,goedemorgen ik probeer net in te loggen op de app maar elke keer als ik de code heb ingetoetsen en wil inloggen dan crasht app en kom ik er niet in wat kan ik hier dan doen is dat mijn kenprobleem
hi de app van de bank werkt niet goed zou je me hiermee kunnen helpen,hijm de eb van de banken werkt niet goed en zou je me hiermee kunnen helpen,hi de app van de bank werkt niet goed zou je me hiermee kunnen helpen
het lukt me niet om de app goed te gebruiken hij wil niet laden,het lukt me niet om de apgoed te gebruiken hij wil niet laden,het lukt me niet om de app goed te gebruiken hij wil niet laden
hallo ik probeerde de app te gebruiken maar hij laadt niet kunt u mij helpen,allo ik probeerde de et te gebruiken maar helaas niet kunt u mij helpen,hallo ik probeerde de app te gebruiken maar hij laadt niet kunt u mij helpen
the app doesnt load is there a problem,de eplaad niet is er een probleem,the app doesnt load is there a problem
goedemiddag u spreekt met de heer ik probeer in te loggen in mijn app maar de app laat niet zijn er misschien werkzaamheden bezig,voe middag is frequentair ik ep probeermen te loggen in mijn ap maar de ap laat niet zijn er misschien e e werkzaamheden bezig,goedemiddag u spreekt met de heer ik probeer in te loggen in mijn app maar de app laat niet zijn er misschien werkzaamheden bezig
goedemiddag ik ben benne langendijk ik bel vanwege de app van uw bank ja die laat niet ik bedoel laat mijn nieuwe account salen maar niet op en dan staat dat er wordt onderhouden maar ja wist ik veel wat het nu was en nu heb ik geen toegang tot mijn account wat moet ik nou doen hoe kunnen we dit oplossen want ik heb het nu toch echt nodig ik wil toch echt wel weten wat erop staat ik heb mijn geld gestort ik wil toch echt weten wat erop staat ik wil toch echt weten wat erop staat ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld stok ik wil,miher goedemiraars ben met de ben belangrijk jar ik bel vanwege de ep die er van u bank ja ni laat niet ik bedoel warm allen laat mijn nieuwe acoutsalden maar niet op en staat dat er wordt onderhoudenmaar ja wist eert veel wel een duwars en u heb ik geen ekapelig een toegang top en an kaanm gen bor ik wal doen hoeweu kunnen we dit oploss on ik heb ik nut toch echt nodig wil toch ech wel weden water opstaan met mijn geldgesporg gestorttegon fijn om te rijpen,goedemiddag ik ben benne langendijk ik bel vanwege de app van uw bank ja die laat niet ik bedoel laat mijn nieuwe account salen maar niet op en dan staat dat er wordt onderhouden maar ja wist ik veel wat het nu was en nu heb ik geen toegang tot mijn account wat moet ik nou doen hoe kunnen we dit oplossen want ik heb het nu toch echt nodig ik wil toch echt wel weten wat erop staat ik heb mijn geld gestort ik wil toch echt weten wat erop staat ik wil toch echt weten wat erop staat ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld gestort ik wil mijn geld stok ik wil
ik heb geen toegang meer tot mijn account,ik heb geen toegang meer toe tedn mijn erkount,ik heb geen toegang meer tot mijn account
op dit moment ben ik de app aan het gebruiken en ik kan dus niet verder terugkijken dan een jaar geleden wat heel erg storend is want ik moet mijn bank afschriften voor dit jaar en vorig jaar met elkaar vergelijken voor de belastingdienst,dit moment ben ik  epantgebruik en ik kan dus niet verder terugkijk kijken dan een jaars geleden wat heel erstorend is want ik moet mijn bankafschriften voor dit jaar en vors gaan hetkaar vergelijken voor de belasting is,op dit moment ben ik de app aan het gebruiken en ik kan dus niet verder terugkijken dan een jaar geleden wat heel erg storend is want ik moet mijn bank afschriften voor dit jaar en vorig jaar met elkaar vergelijken voor de belastingdienst
goedemiddag u spreekt met jannie de winter ik ben klant bij ing en ik heb dezelfde ingapp maar de app laat niet als ik de app opzart laat die mijn saldo niet zien en sluit de app automatisch af ik heb de app al eraf gegooid en opnieuw erop geprobeerd te zetten alleen het geeft geen verandering,goeja middag bespreekt met janny d winter aan ik ben klant bijingee en ernaar ik heb zelf de en eng-eb maar de eblaat niet e naar goed te af de aplobsart laat els lat die mijn saldoe niet zien en sluitten hep automatisch af naar goed en kheb e ebwat aan het draf gooiten opnieuwderoprbef ceppen alleen geeft dus ean miar het geeft geen verandering er kunt u mij verder helpen,goedemiddag u spreekt met jannie de winter ik ben klant bij ing en ik heb dezelfde ingapp maar de app laat niet als ik de app opzart laat die mijn saldo niet zien en sluit de app automatisch af ik heb de app al eraf gegooid en opnieuw erop geprobeerd te zetten alleen het geeft geen verandering
hallo de app die laat niet ik wil mijn bankstel wel bekijken maar ik kan het niet zien er staat iets over onhoud maar ik heb gewoon geen toegang kunnen jullie dat oplossen,hij houdt de ruise ap die laat niet je wil nij bangsol wel bekijken maar ik kan het niet zien es haats iets over onderhoud maar ik heb gan gmijn toegaan kun e je dat oplossen,hallo de app die laat niet ik wil mijn bankstel wel bekijken maar ik kan het niet zien er staat iets over onhoud maar ik heb gewoon geen toegang kunnen jullie dat oplossen
